,txn_type,traffic_direction,caller_id,call_date,call_time,duration,caller_antenna,international,recipient_id,timestamp
214,text,ENTRANT,8dd0978118b91fa29ab5a00afd41a95c,20210720,233153,1.0,608-01-00408-26017,domestic,,20210720233153
215,call,SORTANT,2179f43b390b42697f86630c53c50297,20210720,211050,25.0,608-01-00601-24930,domestic,,20210720211050
216,call,DIVERS,b4d762cc6675e3fa24e9e6a24c4b0a9f,20210720,214830,5.0,608-01-09040-25132,domestic,,20210720214830
217,call,SORTANT,fb28be164fed632c6b3a3a8d9aee3503,20210720,114321,7.0,608-01-00712-12344,domestic,,20210720114321
218,call,ENTRANT,17d00e64f1d8a9d163e8af11c631e8ac,20210720,182836,26.0,608-01-00601-24845,domestic,,20210720182836
219,call,SORTANT,7aa69cb38b175abf4ea2fa3df7d697f6,20210720,202448,84.0,608-01-00408-24614,domestic,,20210720202448
220,call,ENTRANT,786578d0f0245a1fc262817d30081eb1,20210720,170056,174.0,608-01-09000-18783,domestic,,20210720170056
221,text,ENTRANT,866b670567a8a74bff06455e901eb76a,20210720,105230,1.0,608-01-09017-02379,domestic,,20210720105230
222,text,ENTRANT,c0d019cb771c2f0a307bb1685120b93e,20210720,131233,1.0,608-01-00164-19566,domestic,,20210720131233
223,text,ENTRANT,e835db4678bef86df92b8c90fdfa679f,20210720,231508,1.0,608-01-09040-30331,domestic,,20210720231508
224,text,SORTANT,84488ebca01674ae7fa9368c42bd1f8e,20210720,173611,1.0,608-01-09010-24643,domestic,,20210720173611
225,call,SORTANT,0022e0c91c49460931dfc63b1320037d,20210720,181354,149.0,608-01-09003-61638,domestic,,20210720181354
226,call,SORTANT,737a9aa8140cc0368f95b4fa5868e4ba,20210720,102638,12.0,608-01-00408-25296,domestic,,20210720102638
227,call,ENTRANT,18b8681ac1138d93dc7dae547ccba981,20210720,131440,26.0,608-01-09003-17981,domestic,,20210720131440
228,call,SORTANT,934d1fa7c36f959bb1c10e7490e8882e,20210720,221450,48.0,608-01-00408-25290,domestic,,20210720221450
229,call,SORTANT,c812f4c48d323a4ae083b4f07512fc93,20210720,131614,4.0,608-01-09010-02363,domestic,,20210720131614
230,call,SORTANT,2ab26a97eaef1fa649b8ea3f22d7f26a,20210720,200912,25.0,608-01-09040-24952,domestic,,20210720200912
231,call,ENTRANT,fc091e1e11285c903febbcb8680f3769,20210720,164811,130.0,608-01-09040-25096,domestic,,20210720164811
232,text,ENTRANT,ec27f17d470e9d0e8f4cd3122051501d,20210720,54534,1.0,608-01-09009-17802,domestic,,2021072054534
233,call,ENTRANT,171877c06f5354d5aaa023063d73dfc7,20210720,210736,18.0,608-01-09020-34653,domestic,,20210720210736
234,call,SORTANT,eacb55e36b00298df853f65ce943d5be,20210720,113145,13.0,608-01-00226-27091,domestic,,20210720113145
235,call,SORTANT,c6f0d22fc506bab022b42888799f5b10,20210720,91655,31.0,608-01-09040-25106,domestic,,2021072091655
236,text,ENTRANT,fe9d7c59f4d4b24c2d6ced50fd4ffa22,20210720,135759,1.0,608-01-00712-03850,domestic,,20210720135759
237,call,SORTANT,7bfac783552c65f38f38b3ff0042904e,20210720,204840,34.0,608-01-09036-41211,domestic,,20210720204840
238,call,ENTRANT,62393c7a7ea7a519f13ba7dcc551ad90,20210720,235424,29.0,608-01-00408-25284,domestic,,20210720235424
239,call,ENTRANT,30d9249d0df7564a6bc1868e7efc2cef,20210720,185501,78.0,608-01-09043-22994,domestic,,20210720185501
240,call,ENTRANT,f05ca2671d6629477a9252e56ddb6370,20210720,115226,212.0,608-01-00410-25632,domestic,,20210720115226
241,text,ENTRANT,2eedc6a9e772186c5c591686a031a081,20210720,204109,1.0,608-01-00117-21861,domestic,,20210720204109
242,text,ENTRANT,4aabfb7d61da9014fde5f613a477bbef,20210720,125610,1.0,608-01-09031-21908,domestic,,20210720125610
243,text,ENTRANT,7f567c69bceacc47e55d4455a04c571b,20210720,81242,1.0,608-01-09017-46484,domestic,,2021072081242
244,call,ENTRANT,9a49967d7cbde11365a34c32cf21bfae,20210720,133535,68.0,608-01-00408-25430,domestic,,20210720133535
245,text,ENTRANT,98287f33026d1ed7faca05cdb96cec40,20210720,160050,1.0,608-01-09036-25624,domestic,,20210720160050
246,call,SORTANT,3bd8b86812510af9b6ac3f48f7ecbf7f,20210720,202857,4.0,608-01-09001-35831,domestic,,20210720202857
247,text,ENTRANT,23b560c6bd46f916e8ce341c86e7dc4a,20210720,113152,1.0,608-01-00117-21864,domestic,,20210720113152
248,call,ENTRANT,c9f1972f70259c15aa277ea0d099b0b6,20210720,172228,53.0,608-01-09000-03949,domestic,,20210720172228
249,call,SORTANT,3a38326439ad01f6feff96bd43387474,20210720,181427,35.0,608-01-09040-25129,domestic,,20210720181427
250,call,SORTANT,8fcd4f027e4c41ac7b5a7c00cc713056,20210720,111534,45.0,608-01-00255-29434,domestic,,20210720111534
251,text,ENTRANT,767542a7edba3f34c924da4767d2b990,20210720,1301,1.0,608-01-09016-32973,domestic,,202107201301
252,call,SORTANT,e1b5693ac6576525d93e320730540b88,20210720,111753,58.0,608-01-00117-21861,domestic,,20210720111753
253,text,ENTRANT,938ff58dab6c25fbb2937eebb7d93ef8,20210720,104122,1.0,608-01-09003-17981,domestic,,20210720104122
254,text,SORTANT,712cc25d3e7511ab3b9c48a7ca5ab20f,20210720,224702,1.0,608-01-00601-24990,domestic,,20210720224702
255,text,ENTRANT,cab79240c9a5b732d7222be7d1c138ea,20210720,122958,1.0,608-01-09030-54032,domestic,,20210720122958
256,call,SORTANT,22a9c219adea371f286f8b3a3eec5d24,20210720,82327,96.0,608-01-09031-30532,domestic,,2021072082327
257,text,ENTRANT,ee35ec8cea548b98513dc7ec449a9608,20210720,175029,1.0,608-01-09000-03943,domestic,,20210720175029
258,call,SORTANT,7f14d7afc923d2f99b7cd506479aed3a,20210720,105707,57.0,608-01-00117-21495,domestic,,20210720105707
259,call,ENTRANT,602dc67c94fe047684047a5bc26b25ce,20210720,203945,92.0,608-01-09040-25026,domestic,,20210720203945
260,call,ENTRANT,b9ac4dbd42dbeebb047f8d46deb13672,20210720,203902,2565.0,608-01-09001-04819,domestic,,20210720203902
261,text,ENTRANT,e5c201427198898e08a2415224ef384b,20210720,142041,1.0,608-01-00601-25008,domestic,,20210720142041
262,call,SORTANT,5d73934e398bd6aa62dd8d85b85cd608,20210720,44031,21.0,608-01-09040-30251,domestic,,2021072044031
263,call,SORTANT,63f7c77163ff5db3b4785374f3b5af76,20210720,102108,89.0,608-01-09003-17983,domestic,,20210720102108
264,text,ENTRANT,2067e5946dd5f0caab98fd4e158f663c,20210720,132340,1.0,608-01-00601-24991,domestic,,20210720132340
265,call,ENTRANT,d0072e6a3869c739ac82e689421717d3,20210720,201021,116.0,608-01-00601-24931,domestic,,20210720201021
266,call,SORTANT,149501ce990e4a00695000e00c063cac,20210720,113710,4.0,608-01-09036-40785,domestic,,20210720113710
267,call,ENTRANT,1d25e1259bc60b36689e572b8d1867f0,20210720,133454,41.0,608-01-09000-00207,domestic,,20210720133454
268,text,ENTRANT,4cf9469c58b246976d0261297b9eda1d,20210720,111157,1.0,608-01-09000-53103,domestic,,20210720111157
269,call,SORTANT,051d1958824487a179b8053017df8aaf,20210720,114805,6.0,608-01-09031-21909,domestic,,20210720114805
270,text,ENTRANT,e05599aa5913a6fce0c45964c00f88fe,20210720,90153,1.0,608-01-00715-09484,domestic,,2021072090153
271,call,ENTRANT,0fa9ab6a7106e75e57b51047802f3148,20210720,182820,33.0,608-01-09000-00293,domestic,,20210720182820
272,call,ENTRANT,d03ca7f2a3a3bbab555b61e1bc055f69,20210720,231925,18.0,608-01-00117-21777,domestic,,20210720231925
273,call,ENTRANT,53afc1294a140f00c22e56cfdaf7ea7e,20210720,215035,30.0,608-01-00601-25009,domestic,,20210720215035
274,text,SORTANT,390558f8d5f8d918dc4f5be775c3f260,20210720,224208,1.0,608-01-09017-00597,domestic,,20210720224208
275,call,ENTRANT,9500b60354d837bcdaf0e4ddf6295103,20210720,90719,56.0,608-01-09036-17038,domestic,,2021072090719
276,call,SORTANT,79322a72d1f70844d8d29ef7ac9da360,20210720,195713,14.0,608-01-09031-25618,domestic,,20210720195713
277,call,ENTRANT,d482d89c6580ebe95e77d3b2b9ff8cef,20210720,85939,15.0,608-01-00161-19837,domestic,,2021072085939
278,call,SORTANT,a4aab146131abc797938e57071f0b33b,20210720,165924,49.0,608-01-09000-23092,domestic,,20210720165924
279,text,SORTANT,299fb34d7eb4cfd4986d462c9dd11fbc,20210720,132336,1.0,608-01-00408-25290,domestic,,20210720132336
280,call,SORTANT,bb9c8de37d4e3b279b0e5789f82e783b,20210720,193639,34.0,608-01-00408-31588,domestic,,20210720193639
281,text,SORTANT,bbe7bd527e59a2c88e8a3a0988b960ff,20210720,101709,1.0,608-01-00601-24929,domestic,,20210720101709
282,text,SORTANT,5ea2ccabb5e600a3b4a0a844790842a5,20210720,181021,1.0,608-01-09000-00304,domestic,,20210720181021
283,call,SORTANT,eadf8fe6c61a84d9be5aeaae46de561a,20210720,235519,11.0,608-01-09020-25069,domestic,,20210720235519
284,call,ENTRANT,d40395ea5b4bd106bd0ef402a2a0403c,20210720,134032,40.0,608-01-02001-28998,domestic,,20210720134032
285,call,ENTRANT,04f0bb66bbdc4b80c65fd8a1b9edd74f,20210720,105755,22.0,608-01-00164-19567,domestic,,20210720105755
286,call,ENTRANT,98471b2d9491b84c33140a5c2529bef8,20210720,173913,100.0,608-01-09003-02629,domestic,,20210720173913
287,call,ENTRANT,9bd9da9cb16f5ded93c5aa4b0fcb5e74,20210720,124203,203.0,608-01-09013-59737,domestic,,20210720124203
288,call,SORTANT,2ed304937c809e47532a65a187c94fb1,20210720,102711,1.0,608-01-09036-15785,domestic,,20210720102711
289,call,ENTRANT,0515b2f72f9a4eea00ec821cc97a157d,20210720,120151,35.0,608-01-09020-24885,domestic,,20210720120151
290,text,ENTRANT,ca47c31f7636aa5cab2e5d87f907bcd8,20210720,192356,1.0,608-01-00601-24930,domestic,,20210720192356
291,call,SORTANT,6790c5b33cc0ac902662f126371d5efe,20210720,165351,20.0,608-01-00601-24847,domestic,,20210720165351
292,text,ENTRANT,858e9e0706178b89bc99119874e6518f,20210720,121958,1.0,608-01-09000-07249,domestic,,20210720121958
293,call,SORTANT,c9375b5ee80d11b3c0fe6a354da0ec9e,20210720,160559,25.0,608-01-09030-53953,domestic,,20210720160559
294,call,SORTANT,410b8e24e00077a2acb29e6900b0de6a,20210720,223210,4.0,608-01-00408-26806,domestic,,20210720223210
295,call,ENTRANT,321647f8b3c42582ac7b84622825d605,20210720,183015,78.0,608-01-09031-30533,domestic,,20210720183015
296,text,ENTRANT,71ccc3ca24d92944318148dfa96e4669,20210720,130518,1.0,608-01-00601-25009,domestic,,20210720130518
297,text,ENTRANT,99bbbe36862cd54d6af25a6d2aea7dca,20210720,230425,1.0,608-01-09000-18781,domestic,,20210720230425
298,call,DIVERS,3553de321eb83a87c2ec65010fa7227b,20210720,111718,34.0,608-01-09040-24858,domestic,,20210720111718
299,text,ENTRANT,be74d0e0cc45d3784250c91ef25c00ef,20210720,145622,1.0,608-01-09040-25096,domestic,,20210720145622
300,call,SORTANT,c3356f4a671d055677d634d7086a0224,20210720,190444,647.0,608-01-09003-43889,domestic,,20210720190444
301,call,ENTRANT,0fbb6dcda1c46cb20309b1b61c577dd8,20210720,91215,100.0,608-01-02017-30689,domestic,,2021072091215
302,text,ENTRANT,051d1958824487a179b8053017df8aaf,20210720,114911,1.0,608-01-09031-25612,domestic,,20210720114911
303,text,ENTRANT,52697eb1a3c94a9413a361487f26e0d1,20210720,143051,1.0,608-01-09040-34691,domestic,,20210720143051
304,call,ENTRANT,cbc1711d94c9514c14e0037504665c16,20210720,202111,2.0,608-01-00117-21495,domestic,,20210720202111
305,call,SORTANT,b1368ac12054b7f3a879b58300300d20,20210720,153814,133.0,608-01-00152-20559,domestic,,20210720153814
306,text,ENTRANT,846e2ebc834ef8dc01db67c74528cdb2,20210720,231909,1.0,608-01-00712-04911,domestic,,20210720231909
307,call,DIVERS,dd0955356754373d78f3eb1506a7bb0d,20210720,93225,5.0,608-01-00408-25291,domestic,,2021072093225
308,text,SORTANT,2d472b56212f28b0ff90b9c683bc2b3a,20210720,194807,1.0,608-01-09017-65165,domestic,,20210720194807
309,text,ENTRANT,dfce9bde69d34678976295130f1fc42d,20210720,111858,1.0,608-01-09010-01366,domestic,,20210720111858
310,call,SORTANT,2d1c58a7ca797bafcbbbeb04dcfaa534,20210720,143714,26.0,608-01-09000-03941,domestic,,20210720143714
311,call,SORTANT,0b7147379f8a438b63e2fdb2319fede7,20210720,101246,27.0,608-01-00408-25290,domestic,,20210720101246
312,text,ENTRANT,0b188085d0740d92f8ff64ee7317e31c,20210720,214621,1.0,608-01-02008-24899,domestic,,20210720214621
313,call,SORTANT,44a4159b4158d6faa9931c3357da3d0a,20210720,183049,477.0,608-01-00601-25007,domestic,,20210720183049
314,call,ENTRANT,e3eff64b000ae79229a1f4c28e84f4e8,20210720,123442,47.0,608-01-09016-44442,domestic,,20210720123442
315,call,ENTRANT,301d57d7030256707d56993fa73ee7d0,20210720,223030,25.0,608-01-09005-63637,domestic,,20210720223030
316,call,ENTRANT,f56e17c744f4f4fa9f2696cf35a07e44,20210720,215919,192.0,608-01-09031-21909,domestic,,20210720215919
317,call,SORTANT,ac2c0ac59fd3f4039169783232c42341,20210720,205614,4.0,608-01-09031-25612,domestic,,20210720205614
318,text,ENTRANT,0978861b20eb00c33046603f23bc45b1,20210720,184957,1.0,608-01-09000-19023,domestic,,20210720184957
319,call,SORTANT,ec99895b6cf005540229dabaee4b9c5b,20210720,214501,140.0,608-01-00715-11554,domestic,,20210720214501
320,call,SORTANT,d03ca7f2a3a3bbab555b61e1bc055f69,20210720,100515,18.0,608-01-00117-21777,domestic,,20210720100515
321,call,ENTRANT,f72b64b5d0b94b954b45d32b3d1c3e5b,20210720,154948,34.0,608-01-09000-36552,domestic,,20210720154948
322,call,SORTANT,1ba496ce3da1e9f25094575e50719c43,20210720,145353,6.0,608-01-09036-27501,domestic,,20210720145353
323,text,ENTRANT,25be0a6245bb13c6f956e4e99d3865e7,20210720,20753,1.0,608-01-09000-00734,domestic,,2021072020753
324,call,SORTANT,956afb9bb739a74a685d6dbf3740977d,20210720,180326,18.0,608-01-02006-29937,domestic,,20210720180326
325,text,ENTRANT,a44db96af5abf48d8a46006f2499fb9a,20210720,122821,1.0,608-01-09040-25921,domestic,,20210720122821
326,text,ENTRANT,83123b65340bb567aca3dc4ee03f1679,20210720,200911,1.0,608-01-09001-00665,domestic,,20210720200911
327,call,SORTANT,1d240087fc62c33d9b95617bf2b28cfe,20210720,123512,4.0,608-01-09031-30533,domestic,,20210720123512
328,call,ENTRANT,cc6af92de84b0ce5c9f9ff435c2db75f,20210720,192439,73.0,608-01-09040-30113,domestic,,20210720192439
329,call,SORTANT,1b28e4a0e51a9c8735a00c28254e4eda,20210720,141610,4.0,608-01-09040-30343,domestic,,20210720141610
330,call,ENTRANT,57f5ef4e516dd025cd59ce32f8218968,20210720,150303,59.0,608-01-00408-26806,domestic,,20210720150303
331,call,ENTRANT,08a69171a547a8b04f5c6fa9b7397f42,20210720,134217,72.0,608-01-09040-25122,domestic,,20210720134217
332,call,ENTRANT,2802de23c8540b30d630402dca5e5b91,20210720,235823,22.0,608-01-00164-19699,domestic,,20210720235823
333,text,ENTRANT,59d6043e963aebd3c65ed69a63c101a9,20210720,101314,1.0,608-01-09005-07046,domestic,,20210720101314
334,call,SORTANT,709440a718fedd50398d833d23c2dab1,20210720,215809,21.0,608-01-09000-00733,domestic,,20210720215809
335,call,ENTRANT,6c741f6635cab17ccd1c9db7c82dec54,20210720,184121,44.0,608-01-09040-25136,domestic,,20210720184121
336,call,ENTRANT,a5ae478ca9601329b92350193dae4d38,20210720,110121,82.0,608-01-09003-01569,domestic,,20210720110121
337,call,SORTANT,8757b2ec0f242b5e650fe6cefc9614e9,20210720,103936,10.0,608-01-09020-24909,domestic,,20210720103936
338,text,ENTRANT,16e9ee2c5b5dcc63392da8ca8e83ed26,20210720,132049,1.0,608-01-00408-24507,domestic,,20210720132049
339,text,ENTRANT,b86ef01d94d2a300b7c15ddd4a8b6287,20210720,91032,1.0,608-01-02008-24876,domestic,,2021072091032
340,text,ENTRANT,deeeb3a08fb56cc17f41a35fab5204b4,20210720,111118,1.0,608-01-00408-25290,domestic,,20210720111118
341,text,SORTANT,f217d0ab7bd8ac2d17bcd8d6f1deee06,20210720,4953,1.0,608-01-09009-17681,domestic,,202107204953
342,call,SORTANT,317ecd5cd0c826d73882cb73fdf65089,20210720,164509,57.0,608-01-09040-34762,domestic,,20210720164509
343,call,ENTRANT,0f0d7ea3accf140cb274ee959ce743c6,20210720,111348,34.0,608-01-00712-12344,domestic,,20210720111348
344,call,SORTANT,abddb55a796b12efde45378ce8c89b27,20210720,75541,4.0,608-01-09040-25129,domestic,,2021072075541
345,call,SORTANT,b8e425f04a4b982e794d7e006c152f61,20210720,210949,50.0,608-01-00712-12484,domestic,,20210720210949
346,call,ENTRANT,23dc5ee30a18af5968d398686e189050,20210720,94438,16.0,608-01-09043-06940,domestic,,2021072094438
347,call,SORTANT,55ed6a2640709c0fa45ab83930db319b,20210720,112849,104.0,608-01-00601-24926,domestic,,20210720112849
348,call,ENTRANT,8342b1cc4b043b9a740e4e55ac2dc875,20210720,135655,12.0,608-01-00118-21488,domestic,,20210720135655
349,call,ENTRANT,da3bf1d78e2629c8cfb4698da0b7bb00,20210720,173958,22.0,608-01-09020-34683,domestic,,20210720173958
350,text,ENTRANT,6e891f94fa27162c4f3f791277340fab,20210720,173333,1.0,608-01-09003-01562,domestic,,20210720173333
351,text,ENTRANT,0f4436f69b5d728b67a824cf31b23a75,20210720,231746,1.0,608-01-00601-25008,domestic,,20210720231746
352,call,ENTRANT,0c3f9f6dc2829b59d3aeb6f7e66fd89a,20210720,82755,142.0,608-01-09036-24722,domestic,,2021072082755
353,call,ENTRANT,cf506ba2da0950fbf04bc219ab1277f1,20210720,113556,27.0,608-01-09036-15784,domestic,,20210720113556
354,call,SORTANT,80134e390d51141ccbebd0fbfd8bd6bb,20210720,201708,123.0,608-01-09040-24856,domestic,,20210720201708
355,call,SORTANT,e8ad30e9a4e0a98068c877771fcb27fe,20210720,202542,27.0,608-01-09040-25089,domestic,,20210720202542
356,call,SORTANT,49035713f999acb1614ff4e66680afac,20210720,152604,23.0,608-01-09003-02167,domestic,,20210720152604
357,text,ENTRANT,e49e425b31221e9547f8312ccb62af19,20210720,125903,1.0,608-01-09040-24991,domestic,,20210720125903
358,call,SORTANT,7535a7054953588ac8ad6cad8d8edcea,20210720,90728,62.0,608-01-09005-02980,domestic,,2021072090728
359,call,ENTRANT,6490c37c8ca7c687687384f39fd77ddf,20210720,111420,40.0,608-01-09040-25013,domestic,,20210720111420
360,text,ENTRANT,06e9135dbd1a697649db3c7e7b59cdd6,20210720,215232,1.0,608-01-00226-28497,domestic,,20210720215232
361,text,ENTRANT,e3707d5173dd3037b5b5a54276f8fde4,20210720,100224,1.0,608-01-09003-43881,domestic,,20210720100224
362,call,ENTRANT,b9da82b81c6330c876b9a67f604ad90a,20210720,132503,72.0,608-01-09040-24997,domestic,,20210720132503
363,call,ENTRANT,dd07d2d3c59467700aa423fbc160769f,20210720,80703,33.0,608-01-00118-21002,domestic,,2021072080703
364,text,SORTANT,28595a576cd57669d1ce0e80699fdd1e,20210720,225540,1.0,608-01-00601-32376,domestic,,20210720225540
365,call,ENTRANT,034d8589a6b01b985d86c8eb20559783,20210720,184912,120.0,608-01-00255-28474,domestic,,20210720184912
366,call,SORTANT,828aa636d665e2f453930a0fc4e1133b,20210720,161243,2.0,608-01-09000-18883,domestic,,20210720161243
367,call,ENTRANT,b136dfd51188b8ed980b2fb06b937531,20210720,164804,5.0,608-01-09020-47107,domestic,,20210720164804
368,call,SORTANT,ba3132ae630b43aca6f9f8a7a80b6685,20210720,134202,28.0,608-01-09040-24999,domestic,,20210720134202
369,text,SORTANT,cc8807131fdb6607dadf1e03de778fcb,20210720,164038,1.0,608-01-00206-27846,domestic,,20210720164038
370,call,ENTRANT,eefe907b31704b04df99ab8ba9cba015,20210720,142942,28.0,608-01-00712-33127,domestic,,20210720142942
371,call,ENTRANT,c29969d403bee9d15bb3b223ff0ab73f,20210720,155654,28.0,608-01-09040-24996,domestic,,20210720155654
372,call,SORTANT,ee7b2c6b9309c1e969874061386fca4a,20210720,220110,73.0,608-01-09000-00311,domestic,,20210720220110
373,text,ENTRANT,7cc6528fc113d888d284c40492eeb268,20210720,122615,1.0,608-01-00712-12335,domestic,,20210720122615
374,call,SORTANT,57b7f6816498bc84d4ec10b2912ee259,20210720,102057,89.0,608-01-09024-60625,domestic,,20210720102057
375,call,SORTANT,8a8432a99f271e50046c62b6cd6f9e42,20210720,110111,19.0,608-01-09020-24972,domestic,,20210720110111
376,text,ENTRANT,489557ca53ded5eedf4b32a1dd35bb45,20210720,72219,1.0,608-01-00408-25291,domestic,,2021072072219
377,text,ENTRANT,8bf5a1e1e3eede8527e7c7b42aec4d11,20210720,172009,1.0,608-01-09043-23003,domestic,,20210720172009
378,call,ENTRANT,97eeff9f3130340a18361c078cb01157,20210720,220736,23.0,608-01-00601-24930,domestic,,20210720220736
379,call,SORTANT,b04fd8dd565e88280a01b27e384765e4,20210720,94459,19.0,608-01-00712-33229,domestic,,2021072094459
380,text,ENTRANT,d4ddcc6eadcda98af5493ebb6eb5e148,20210720,163620,1.0,608-01-09031-25612,domestic,,20210720163620
381,call,ENTRANT,9744dbaa59a8709b5400a662be612437,20210720,114949,164.0,608-01-09003-01569,domestic,,20210720114949
382,text,ENTRANT,54c7057f4ecd2d706cada482cbfef46c,20210720,171152,1.0,608-01-09020-24976,domestic,,20210720171152
383,text,ENTRANT,f4d0238399243823b7fc42339c621ac9,20210720,144538,1.0,608-01-09000-00021,domestic,,20210720144538
384,text,ENTRANT,cbe2c7d0d74de7c2c00be56d4417d48b,20210720,214011,1.0,608-01-09016-35111,domestic,,20210720214011
385,call,ENTRANT,323f06c917421b2643992ba87e46f92f,20210720,151145,174.0,608-01-09040-24995,domestic,,20210720151145
386,call,ENTRANT,a2ff88a61e75de7064ca1e186ffab149,20210720,104002,655.0,608-01-00117-21848,domestic,,20210720104002
387,call,SORTANT,3f588feaaeb1b4f7429a9601ba925a91,20210720,144514,110.0,608-01-09040-25085,domestic,,20210720144514
388,call,SORTANT,c588ce958827eadf660acc1ef422ba11,20210720,112807,43.0,608-01-09040-25139,domestic,,20210720112807
389,text,ENTRANT,9bf143dfa3a5e963c051445c16277777,20210720,114115,1.0,608-01-09040-25075,domestic,,20210720114115
390,call,ENTRANT,cac91d3ca9e4578a220b4e36dc7eb66a,20210720,230011,59.0,608-01-09003-02627,domestic,,20210720230011
391,text,ENTRANT,2cab24e65f5adf5261a95b95c8e7c0ff,20210720,131542,1.0,608-01-00228-32936,domestic,,20210720131542
392,call,SORTANT,9b20172ae05b559bb56fbad60253c061,20210720,105147,135.0,608-01-00712-09953,domestic,,20210720105147
393,call,SORTANT,22d9de137aa3bb310c27033141ff4802,20210720,135219,8.0,608-01-09040-43313,domestic,,20210720135219
394,call,ENTRANT,17c30b73e3093002327c90feaab49076,20210720,133243,257.0,608-01-09001-02576,domestic,,20210720133243
395,call,ENTRANT,94bffc989176abba4f38e21e26b600fd,20210720,144146,27.0,608-01-09020-30172,domestic,,20210720144146
396,text,SORTANT,fd5ce2bd6191ae8d96c484e6d332949b,20210720,53422,1.0,608-01-09007-45843,domestic,,2021072053422
397,call,SORTANT,0bebee0b3b040673e88740ce082fb611,20210720,125402,198.0,608-01-09010-05393,domestic,,20210720125402
398,call,SORTANT,76dd5aa3250ad6bcff3635c01b474bae,20210720,70341,16.0,608-01-09020-30173,domestic,,2021072070341
399,text,ENTRANT,8f50f29f991841bdbe1e74f23bbcbddc,20210720,152209,1.0,608-01-09040-34701,domestic,,20210720152209
400,call,ENTRANT,980c763fdaa8a63a43989e00472248e5,20210720,200548,59.0,608-01-09025-37012,domestic,,20210720200548
401,call,ENTRANT,0b553cc5627a260f345dcb8bea72ff20,20210720,132053,65.0,608-01-09036-25622,domestic,,20210720132053
402,call,SORTANT,01e6c1212f0ba23f0bbef7744229a91e,20210720,105855,17.0,608-01-00408-25289,domestic,,20210720105855
403,text,SORTANT,6802b579d0697a3941904393b9ae7a74,20210720,200823,1.0,608-01-00712-03850,domestic,,20210720200823
404,text,ENTRANT,793c9a5b08fd61d49264349475bfcb0f,20210720,104034,1.0,608-01-09040-25077,domestic,,20210720104034
405,text,ENTRANT,532d0a736686fa88875ac4296ee70b03,20210720,102917,1.0,608-01-09022-00000,domestic,,20210720102917
406,call,SORTANT,059b30c90e3c641f559fc2fd63dd4a49,20210720,214449,10.0,608-01-09003-51927,domestic,,20210720214449
407,call,ENTRANT,8eeff909276a686d998538c0000a1c7d,20210720,130030,46.0,608-01-09036-20603,domestic,,20210720130030
408,call,SORTANT,709440a718fedd50398d833d23c2dab1,20210720,141032,37.0,608-01-09000-22841,domestic,,20210720141032
409,text,ENTRANT,1546412754921b0ff22e6d0b4e715136,20210720,100015,1.0,608-01-09040-24997,domestic,,20210720100015
410,text,ENTRANT,abb9a059ab757925b2785293374dc4bf,20210720,3339,1.0,608-01-00117-21495,domestic,,202107203339
411,call,ENTRANT,0fa9ab6a7106e75e57b51047802f3148,20210720,141002,28.0,608-01-09000-00207,domestic,,20210720141002
412,text,ENTRANT,c761c1e7654d28e4b273ef59df7006a3,20210720,125600,1.0,608-01-09040-30352,domestic,,20210720125600
413,call,SORTANT,1ceab8db51eb1b45367fc5a527b2d3b4,20210720,114558,2.0,608-01-09036-25627,domestic,,20210720114558
414,text,ENTRANT,866b670567a8a74bff06455e901eb76a,20210720,110202,1.0,608-01-09017-02379,domestic,,20210720110202
415,call,ENTRANT,c3eb25a3b73497873dcc5b4af852b416,20210720,164611,214.0,608-01-00712-33127,domestic,,20210720164611
416,call,ENTRANT,d0a0ecc51990fdef139bad0effbec20a,20210720,222522,46.0,608-01-09010-56243,domestic,,20210720222522
417,call,ENTRANT,50d3b96e753dfaa60e161746bb5598e2,20210720,132905,32.0,608-01-09003-35324,domestic,,20210720132905
418,text,ENTRANT,1a79db6bd551ed54a802b8aa8ad31d09,20210720,151938,1.0,608-01-09040-34702,domestic,,20210720151938
419,call,SORTANT,f438a853292f3043c4d55e99dcb8ebd3,20210720,144227,12.0,608-01-02008-24852,domestic,,20210720144227
420,call,ENTRANT,c07abf3b27265ad04dcc961e9081dd9e,20210720,201247,11.0,608-01-09040-25132,domestic,,20210720201247
421,call,SORTANT,0c3f9f6dc2829b59d3aeb6f7e66fd89a,20210720,90533,33.0,608-01-09031-30533,domestic,,2021072090533
422,call,SORTANT,a242a6ea2ac484cbb010a290252dea96,20210720,121001,53.0,608-01-09030-02089,domestic,,20210720121001
423,text,ENTRANT,f304cd809d0571e5dd6b848146ecc43d,20210720,134017,1.0,608-01-09036-25623,domestic,,20210720134017
424,call,ENTRANT,ac47a7d744b80364747f2586df12f4bc,20210720,190517,123.0,608-01-00164-19698,domestic,,20210720190517
425,text,ENTRANT,83bb5f7c0ced7221e2c0f367657f7334,20210720,153823,1.0,608-01-09025-44369,domestic,,20210720153823
426,text,ENTRANT,7dd731b8c9830ed81c84db2b5e2a3408,20210720,130146,1.0,608-01-00117-21493,domestic,,20210720130146
427,call,SORTANT,f25ca5006d1629bb5d375e5ece757086,20210720,123252,81.0,608-01-09001-01799,domestic,,20210720123252
428,call,ENTRANT,d39f7cade5da2e107152d02329be282d,20210720,130110,99.0,608-01-00601-24989,domestic,,20210720130110
